,region,periode,anxiete,anxiete_inf,anxiete_sup,depression,depression_inf,depression_sup,pbsommeil,pbsommeil_inf,pbsommeil_sup,hyg4mes,hyg4mes_inf,hyg4mes_sup,dist3mes,dist3mes_inf,dist3mes_sup,nbmoy7mes,nbmoy7mes_inf,nbmoy7mes_sup,nbmoy4mesHyg,nbmoy4mesHyg_inf,nbmoy4mesHyg_sup,dist1m,dist1m_inf,dist1m_sup,portmasque,portmasque_inf,portmasque_sup,,,
,76,Vague 8 : 18-20 mai,186,136,250,133,92,190,669,597,734,401,333,474,,,,,,,273,253,293,694,623,757,543,470,615,,,
,84,Vague 8 : 18-20 mai,152,112,202,127,91,176,639,576,697,415,354,478,,,,,,,280,264,297,674,612,731,493,430,556,,,
,93,Vague 8 : 18-20 mai,145,95,216,123,78,188,604,522,680,477,397,558,,,,,,,300,281,320,736,659,801,602,521,679,,,
,11,Vague 9 : 27-29 mai,180,143,224,152,118,194,693,644,739,449,398,501,,,,,,,289,276,302,624,573,673,577,525,627,,,
,24,Vague 9 : 27-29 mai,136,76,232,109,57,198,757,654,837,482,376,590,,,,,,,306,279,332,650,539,746,559,451,662,,,
,27,Vague 9 : 27-29 mai,153,89,253,104,53,195,705,596,795,339,243,450,,,,,,,270,243,297,678,566,773,486,376,597,,,
,28,Vague 9 : 27-29 mai,250,178,339,167,109,249,695,605,772,413,326,506,,,,,,,273,249,298,609,516,694,510,419,601,,,
,32,Vague 9 : 27-29 mai,236,181,301,141,98,198,718,649,778,364,298,436,,,,,,,277,258,296,680,609,743,599,527,667,,,
,44,Vague 9 : 27-29 mai,206,151,275,121,78,181,622,545,693,409,336,486,,,,,,,287,268,306,683,608,749,564,487,638,,,
,52,Vague 9 : 27-29 mai,117,70,189,91,49,163,586,496,671,493,405,582,,,,,,,296,273,319,695,607,771,532,443,620,,,
,53,Vague 9 : 27-29 mai,131,77,214,78,39,150,520,424,614,430,339,526,,,,,,,288,263,312,647,550,733,393,304,489,,,
,75,Vague 9 : 27-29 mai,119,78,177,114,75,169,637,564,705,409,338,483,,,,,,,278,259,298,668,594,735,555,480,628,,,
,76,Vague 9 : 27-29 mai,194,141,260,139,94,200,677,604,742,429,357,504,,,,,,,272,251,294,686,612,751,464,391,538,,,
,84,Vague 9 : 27-29 mai,106,72,154,94,62,139,668,604,726,426,364,492,,,,,,,298,283,313,652,587,712,539,474,603,,,
,93,Vague 9 : 27-29 mai,136,91,198,113,73,171,623,546,695,377,306,453,,,,,,,283,265,301,615,537,687,563,485,638,,,
,11,Vague 10 : 8-10 juin,188,151,233,139,108,179,649,598,697,375,326,426,,,,,,,266,252,280,564,512,615,584,532,634,,,
,24,Vague 10 : 8-10 juin,139,80,231,85,41,169,712,607,798,365,269,474,,,,,,,256,226,286,596,488,696,479,374,585,,,
,27,Vague 10 : 8-10 juin,133,79,218,94,49,171,638,533,731,447,348,552,,,,,,,289,263,315,623,519,717,438,339,542,,,
,28,Vague 10 : 8-10 juin,155,95,242,95,49,175,641,540,731,413,319,515,,,,,,,277,251,303,619,516,711,527,427,625,,,
,32,Vague 10 : 8-10 juin,184,135,247,125,85,181,691,628,754,391,323,464,,,,,,,272,253,291,575,502,644,514,441,585,,,
,44,Vague 10 : 8-10 juin,176,124,245,118,77,177,654,578,723,349,280,424,,,,,,,261,241,282,570,492,644,488,412,564,,,
,52,Vague 10 : 8-10 juin,166,109,245,113,67,182,588,499,672,381,300,470,,,,,,,254,228,279,561,472,647,479,392,567,,,
,53,Vague 10 : 8-10 juin,81,43,150,72,36,138,547,452,639,322,242,415,,,,,,,270,245,294,524,429,617,366,281,461,,,
,75,Vague 10 : 8-10 juin,135,95,190,95,62,143,605,534,671,309,249,377,,,,,,,246,227,266,589,518,656,479,409,549,,,
,76,Vague 10 : 8-10 juin,122,80,181,98,61,153,661,587,727,365,297,438,,,,,,,264,244,285,592,517,662,494,420,568,,,
,84,Vague 10 : 8-10 juin,167,125,221,149,109,201,657,596,714,404,345,467,,,,,,,279,263,295,589,526,649,499,436,561,,,
,93,Vague 10 : 8-10 juin,178,123,250,91,55,149,658,576,732,311,242,391,,,,,,,256,234,277,590,508,668,399,322,482,,,
,11,Vague 11 : 22-24 juin,144,110,185,136,103,176,583,531,633,390,341,442,,,,,,,273,259,287,531,479,582,528,476,580,,,
,24,Vague 11 : 22-24 juin,156,92,253,61,25,139,560,450,665,321,230,428,,,,,,,258,229,286,546,436,652,527,418,634,,,
,27,Vague 11 : 22-24 juin,123,71,205,92,48,167,646,544,735,431,336,532,,,,,,,283,258,308,557,456,653,579,478,673,,,
,28,Vague 11 : 22-24 juin,152,95,234,73,37,140,677,578,763,360,273,458,,,,,,,254,225,282,568,469,662,456,361,554,,,
,32,Vague 11 : 22-24 juin,197,146,261,126,85,183,705,635,767,328,265,399,,,,,,,254,235,274,526,454,597,551,479,621,,,
,44,Vague 11 : 22-24 juin,153,105,218,145,98,209,573,496,647,317,250,392,,,,,,,252,231,273,534,456,609,515,439,592,,,
,52,Vague 11 : 22-24 juin,143,91,218,78,40,145,631,542,713,333,254,422,,,,,,,261,238,284,520,431,608,471,384,560,,,
,53,Vague 11 : 22-24 juin,162,103,246,138,83,220,596,500,685,326,243,421,,,,,,,266,243,289,588,492,678,572,476,662,,,
,75,Vague 11 : 22-24 juin,172,123,234,100,62,155,614,539,684,339,272,412,,,,,,,259,239,279,554,479,627,564,489,636,,,
,76,Vague 11 : 22-24 juin,108,71,163,85,52,136,595,521,664,324,260,395,,,,,,,252,232,272,539,465,611,518,445,591,,,
,84,Vague 11 : 22-24 juin,140,103,188,105,73,149,633,572,690,392,334,454,,,,,,,265,248,282,579,517,639,513,451,574,,,
,93,Vague 11 : 22-24 juin,163,113,229,127,83,189,699,622,767,407,332,487,,,,,,,264,242,287,548,469,625,493,415,572,,,
,11,Vague 12 : 6-8 juillet,198,160,243,133,101,174,678,628,725,384,335,435,,,,,,,267,253,282,538,486,589,605,554,654,,,
,24,Vague 12 : 6-8 juillet,197,123,301,84,42,161,643,536,737,345,253,450,,,,,,,254,225,283,530,425,633,520,415,623,,,
,27,Vague 12 : 6-8 juillet,194,115,308,110,52,217,720,600,815,308,208,430,,,,,,,264,233,294,523,402,642,408,296,530,,,
,28,Vague 12 : 6-8 juillet,163,104,246,88,47,157,785,695,855,409,319,506,,,,,,,277,251,302,524,428,618,538,442,631,,,
,32,Vague 12 : 6-8 juillet,200,149,262,134,93,190,634,564,699,336,274,404,,,,,,,261,243,279,582,512,649,484,415,553,,,
,44,Vague 12 : 6-8 juillet,204,146,277,99,62,155,672,595,740,389,316,468,,,,,,,280,261,300,590,510,665,600,520,675,,,
,52,Vague 12 : 6-8 juillet,127,81,194,103,61,169,666,578,744,267,197,351,,,,,,,239,215,263,363,283,451,329,253,415,,,
,53,Vague 12 : 6-8 juillet,125,75,202,47,19,108,578,485,665,363,280,455,,,,,,,264,239,289,472,382,564,424,337,516,,,
,75,Vague 12 : 6-8 juillet,117,78,173,66,38,111,561,486,633,283,222,354,,,,,,,242,222,262,508,434,582,446,374,521,,,
,76,Vague 12 : 6-8 juillet,169,119,235,102,64,157,649,575,717,329,263,402,,,,,,,254,234,275,521,447,595,445,373,520,,,
,84,Vague 12 : 6-8 juillet,168,124,224,118,82,167,628,563,690,369,308,435,,,,,,,256,237,275,516,450,581,508,442,573,,,
,93,Vague 12 : 6-8 juillet,142,95,208,113,70,179,673,593,744,349,276,429,,,,,,,260,238,282,513,432,593,429,351,510,,,
,11,Vague 13 : 20-22 juillet,191,154,234,155,121,195,674,624,720,366,318,415,,,,,,,269,255,283,502,451,552,627,576,676,,,
,24,Vague 13 : 20-22 juillet,117,64,205,117,63,207,689,580,781,382,284,491,,,,,,,275,247,302,617,508,716,642,532,739,,,
,27,Vague 13 : 20-22 juillet,133,76,223,88,43,171,545,436,650,350,255,459,,,,,,,255,224,287,524,415,630,686,578,777,,,
,28,Vague 13 : 20-22 juillet,229,154,325,108,60,188,577,476,672,452,355,553,,,,,,,301,279,324,567,465,663,566,465,662,,,
,32,Vague 13 : 20-22 juillet,210,157,276,133,90,190,720,651,780,338,274,409,,,,,,,257,238,276,586,515,654,615,543,681,,,
,44,Vague 13 : 20-22 juillet,176,127,240,114,75,171,647,571,717,434,360,511,,,,,,,281,261,301,590,513,664,642,566,712,,,
,52,Vague 13 : 20-22 juillet,145,91,222,68,34,132,695,605,773,330,251,420,,,,,,,243,217,269,511,420,601,582,490,669,,,
,53,Vague 13 : 20-22 juillet,201,135,288,125,76,199,587,492,676,237,167,325,,,,,,,224,199,250,440,349,534,629,533,715,,,
,75,Vague 13 : 20-22 juillet,145,98,210,97,62,150,607,529,680,327,259,404,,,,,,,258,238,279,520,442,597,632,554,703,,,
,76,Vague 13 : 20-22 juillet,171,119,239,99,61,158,671,594,739,339,270,415,,,,,,,251,229,273,517,439,594,584,505,658,,,
,84,Vague 13 : 20-22 juillet,164,121,218,102,68,150,611,546,673,348,289,412,,,,,,,265,247,282,535,469,599,564,499,628,,,
,93,Vague 13 : 20-22 juillet,184,131,253,126,82,188,592,517,664,308,243,380,,,,,,,265,246,283,539,463,613,604,527,676,,,
,11,Vague 14 : 24-26 août,149,115,193,112,83,151,647,595,696,309,263,360,,,,,,,257,243,270,508,455,560,714,663,760,,,
,24,Vague 14 : 24-26 août,146,86,238,134,74,230,575,465,678,323,231,430,,,,,,,247,215,279,606,496,706,716,606,805,,,
,27,Vague 14 : 24-26 août,120,67,205,109,59,192,592,490,687,407,312,509,,,,,,,266,237,294,558,456,655,730,629,811,,,
,28,Vague 14 : 24-26 août,147,89,233,73,37,141,705,606,789,304,221,401,,,,,,,258,233,282,586,488,678,723,629,801,,,
,32,Vague 14 : 24-26 août,269,208,340,171,123,232,702,632,764,289,229,358,,,,,,,235,216,255,576,502,647,696,624,760,,,
,44,Vague 14 : 24-26 août,239,181,309,156,111,216,685,610,751,352,284,428,,,,,,,266,244,287,589,512,662,720,645,785,,,
,52,Vague 14 : 24-26 août,239,170,325,151,98,226,730,643,802,367,285,456,,,,,,,256,230,282,520,430,609,682,593,760,,,
,53,Vague 14 : 24-26 août,138,82,224,138,84,218,648,557,734,353,267,449,,,,,,,257,230,284,481,386,578,657,557,745,,,
,75,Vague 14 : 24-26 août,168,119,231,89,55,139,626,557,696,294,229,368,,,,,,,257,238,275,588,512,660,703,631,766,,,
,76,Vague 14 : 24-26 août,174,123,242,114,74,171,582,505,655,248,188,320,,,,,,,235,215,255,509,433,584,632,555,702,,,
,84,Vague 14 : 24-26 août,147,103,304,94,62,139,661,595,722,312,252,379,,,,,,,248,229,267,555,486,622,658,589,720,,,
,93,Vague 14 : 24-26 août,149,102,212,87,53,138,573,496,646,298,235,370,,,,,,,249,229,269,454,381,530,611,534,683,,,
,11,Vague 15 : 21-23 sept.,184,145,231,130,96,173,643,590,694,322,273,374,,,,,,,257,243,271,497,442,552,807,759,847,,,
,24,Vague 15 : 21-23 sept.,182,115,277,105,56,186,693,585,783,328,237,435,,,,,,,257,227,286,536,424,645,827,730,894,,,
,27,Vague 15 : 21-23 sept.,188,121,279,82,43,151,610,503,708,375,277,484,,,,,,,273,245,301,432,333,538,693,586,783,,,
,28,Vague 15 : 21-23 sept.,181,116,271,156,93,250,630,530,719,245,171,338,,,,,,,239,213,264,512,415,609,665,564,753,,,
,32,Vague 15 : 21-23 sept.,224,168,292,76,44,126,755,689,810,343,276,417,,,,,,,265,246,284,505,432,578,752,683,810,,,
,44,Vague 15 : 21-23 sept.,150,103,214,108,69,163,663,587,732,360,289,437,,,,,,,262,241,282,568,491,642,747,674,809,,,
,52,Vague 15 : 21-23 sept.,237,164,330,133,83,207,680,592,757,229,160,317,,,,,,,232,209,255,519,429,608,697,609,773,,,
,53,Vague 15 : 21-23 sept.,169,110,253,105,62,174,674,582,755,427,337,522,,,,,,,278,253,303,581,486,670,763,671,836,,,
,75,Vague 15 : 21-23 sept.,189,136,257,104,64,163,695,621,760,299,236,371,,,,,,,251,231,271,572,494,647,747,672,809,,,
,76,Vague 15 : 21-23 sept.,225,168,293,137,93,197,640,569,706,350,285,422,,,,,,,250,228,271,527,455,598,684,614,747,,,
,84,Vague 15 : 21-23 sept.,142,102,195,85,56,127,610,546,671,322,265,385,,,,,,,254,237,272,523,458,587,728,665,783,,,
,93,Vague 15 : 21-23 sept.,110,68,174,88,52,145,627,547,701,282,216,360,,,,,,,261,241,280,502,422,582,668,587,740,,,
,11,Vague 16 : 19-21 oct.,169,133,213,202,162,248,653,602,701,354,306,406,,,,,,,264,250,278,476,424,528,802,757,840,,,
